Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-30,110.68554238257224,114.06087381847615,110.52018216302427,112.65042877197266,142675200,0.0,0.0
2020-10-01,114.43053032893032,114.50834954010315,112.66991334832385,113.60372161865234,116120400,0.0,0.0
2020-10-02,109.81010332254507,112.22244654459766,109.15838422824464,109.93655395507812,144712000,0.0,0.0
2020-10-05,110.80228919258478,113.46753391146844,110.4521101876222,113.32162475585938,106243800,0.0,0.0
2020-10-06,112.54345848013617,112.9520056398048,109.18758468115252,110.07276153564452,161498200,0.0,0.0
2020-10-07,111.49291934511136,112.39754721573829,111.01628226939263,111.94036865234376,96849000,0.0,0.0
2020-10-08,113.07842855908564,113.22433769308869,111.46371367294668,111.8333511352539,83477200,0.0,0.0
2020-10-09,112.13490552618048,113.80798131062522,111.78472652844798,113.77880096435548,100506900,0.0,0.0
2020-10-12,116.78448940909738,121.76480690611336,116.02577075981998,121.00608825683594,240226800,0.0,0.0
2020-10-13,121.85234309102312,121.9690718867462,116.38567436315012,117.79611206054688,262330500,0.0,0.0
2020-10-14,117.6988482441124,119.67346409750246,116.35650041512618,117.8836669921875,150712000,0.0,0.0
2020-10-15,115.48107199261852,117.89340826459105,114.92662307822374,117.41677856445312,112559200,0.0,0.0
2020-10-16,117.97122507402564,118.23386306147653,115.56861068687554,115.77288055419922,115393800,0.0,0.0
2020-10-19,116.68723164895508,117.1346809665428,112.50454937346234,112.8158187866211,120639300,0.0,0.0
2020-10-20,113.0297966240417,115.73395813213436,112.4753478178989,114.30406188964844,124423700,0.0,0.0
2020-10-21,113.4869934138899,115.47133878200704,113.27299429263483,113.6815414428711,89946000,0.0,0.0
2020-10-22,114.24569636322538,114.81960369273568,111.46372301440654,112.59207916259766,101988000,0.0,0.0
2020-10-23,113.2146263110706,113.3702647242428,111.16219112016252,111.90145874023438,82572600,0.0,0.0
2020-10-26,110.89956637288807,113.37027065181736,109.80039043082108,111.91119384765624,111850700,0.0,0.0
2020-10-27,112.33915946139578,114.08032494762836,111.4150806612359,113.41887664794922,92276800,0.0,0.0
2020-10-28,111.9111833730848,112.28081345722651,108.06894369566764,108.1662139892578,143937800,0.0,0.0
2020-10-29,109.30430584931332,113.73989680449657,109.13893817712592,112.17382049560548,146129200,0.0,0.0
2020-10-30,108.03002883521329,108.93465662193633,104.78115517571706,105.89005279541016,190272600,0.0,0.0
2020-11-02,106.13323338437137,107.66039994190102,104.39206773628062,105.80250549316406,122866900,0.0,0.0
2020-11-03,106.66825263139128,108.44832081758368,105.76362465230213,107.42697143554688,107624400,0.0,0.0
2020-11-04,111.02601237155882,112.43645025464208,109.2848465676762,111.81391143798828,138235500,0.0,0.0
2020-11-05,114.73205582071998,116.35650010587015,113.68152628924996,115.7825927734375,126387100,0.0,0.0
2020-11-06,115.2905480316919,116.1480139366498,113.15661816090342,115.6510772705078,114457900,0.205,0.0
2020-11-09,117.41471118065078,118.86655905479424,113.0786522061061,113.34173583984376,154515300,0.0,0.0
2020-11-10,112.59144977903752,114.57921088296683,111.20780194427196,113.00069427490234,138023400,0.0,0.0
2020-11-11,114.18947371911923,116.5669949893343,113.45867669287836,116.43058013916016,112295000,0.0,0.0
2020-11-12,116.55724363092018,117.44394006005354,115.5341249324846,116.1577377319336,103162300,0.0,0.0
2020-11-13,116.38188117132358,116.60598812783084,114.85207947853073,116.20648956298828,81581900,0.0,0.0
2020-11-16,115.87518485821025,117.892184530153,115.12490311645672,117.21985626220705,91183000,0.0,0.0
2020-11-17,116.48904444010536,117.5803631991879,115.91414693604456,116.33313751220705,74271000,0.0,0.0
2020-11-18,115.57310891661412,116.75212717189736,114.97872676825747,115.0079574584961,76322100,0.0,0.0
2020-11-19,114.57922192592288,116.01158523354933,113.8191942363378,115.6023406982422,74113000,0.0,0.0
2020-11-20,115.60234248642784,115.72901129196754,114.28690935456356,114.33562469482422,73604300,0.0,0.0
2020-11-23,114.17972274018632,114.60845935593927,110.8375441873294,110.93498229980467,127959300,0.0,0.0
2020-11-24,110.99345018861624,112.883773343832,109.70724035208704,112.22118377685548,113874200,0.0,0.0
2020-11-25,112.5914676385363,113.76073993620844,112.22119237816696,113.05917358398438,76499200,0.0,0.0
2020-11-27,113.58533560344574,114.48177809334692,113.24429850772805,113.60482025146484,46691300,0.0,0.0
2020-11-30,113.97510835344,117.87269259432198,113.81920141545976,116.0018539428711,169410200,0.0,0.0
2020-12-01,117.91167207901552,120.3086855509802,116.93727599606798,119.57788848876952,127728200,0.0,0.0
2020-12-02,118.89578518676296,120.21122560718796,117.79472048917064,119.92864990234376,89004200,0.0,0.0
2020-12-03,120.35738030969706,120.61072532946784,119.08092403824772,119.792236328125,78967600,0.0,0.0
2020-12-04,119.46094065635504,119.7142856820755,118.40859125787108,119.11990356445312,78260400,0.0,0.0
2020-12-07,119.17837220495473,121.38050924323434,119.11991082393762,120.58150482177734,86712000,0.0,0.0
2020-12-08,121.18564255631568,121.78002475694832,119.93840933537945,121.19538116455078,82225500,0.0,0.0
2020-12-09,121.34152267781415,122.72516309946796,117.90190627108922,118.66193389892578,115089200,0.0,0.0
2020-12-10,117.4147062587099,120.6984231266018,117.07366917962338,120.08454895019533,81312200,0.0,0.0
2020-12-11,119.29530252010171,119.61685498411975,117.46344071723956,119.27581787109376,86939800,0.0,0.0
2020-12-14,119.46093825563229,120.19173519532912,118.42808095975704,118.66193389892578,79184500,0.0,0.0
2020-12-15,121.15638849281328,124.62524311960809,120.95176623601054,124.60575103759766,157243700,0.0,0.0
2020-12-16,124.14779181691584,125.0832036047306,123.31954931044656,124.53754425048828,98208600,0.0,0.0
2020-12-17,125.59964613576102,126.26224318770603,124.76166492977713,125.40476989746094,94359800,0.0,0.0
2020-12-18,125.65809026652522,125.7945050852739,122.89080229894454,123.41697692871094,192541500,0.0,0.0
2020-12-21,121.8189749541549,125.02473843111304,120.28917365326492,124.94678497314452,121251600,0.0,0.0
2020-12-22,128.24022015212188,130.96853111723706,126.33039801611169,128.50331115722656,168904800,0.0,0.0
2020-12-23,128.77615987072127,129.03923604675438,127.4314888319266,127.6068878173828,88223700,0.0,0.0
2020-12-24,127.95768251910688,130.04288924480903,127.74331422195132,128.59103393554688,54930100,0.0,0.0
2020-12-28,130.5593044830477,133.82352163941158,130.09158377292042,133.19017028808594,124486200,0.0,0.0
2020-12-29,134.5153654533124,135.23640894920797,130.90034989432698,131.41677856445312,121047300,0.0,0.0
2020-12-30,132.10859581206566,132.5081016930773,129.9844050523243,130.2962188720703,96452100,0.0,0.0
2020-12-31,130.64698149385816,131.2900862451404,128.34740697226323,129.29257202148438,99116600,0.0,0.0
2021-01-04,130.10134836082602,130.18904042592823,123.51442981152032,126.0965805053711,143301900,0.0,0.0
2021-01-05,125.58989445727472,128.36692888537684,125.14166577453908,127.65560913085938,97664900,0.0,0.0
2021-01-06,124.44983890451066,127.69457886274444,123.14414460239529,123.35851287841795,155088000,0.0,0.0
2021-01-07,125.0734730800105,128.25975221212653,124.58627507251094,127.56792449951172,109578200,0.0,0.0
2021-01-08,129.0392361452558,129.23412721104498,126.8955682344821,128.66897583007812,105158200,0.0,0.0
2021-01-11,125.8822038307644,126.83710761276024,125.20986830687416,125.67757415771484,100384500,0.0,0.0
2021-01-12,125.20986790485576,126.3694013561782,123.61185929052172,125.50218963623048,91951100,0.0,0.0
2021-01-13,125.46322047371515,128.08434802714223,125.20014426532036,127.53868865966795,88636800,0.0,0.0
2021-01-14,127.4509903383349,127.64586655028748,125.46321431935364,125.60938262939452,90221800,0.0,0.0
2021-01-15,125.48269022260448,126.88582255672144,123.748266884071,123.88468170166016,111598500,0.0,0.0
2021-01-19,124.50832983471444,125.41452591995925,123.68984069637378,124.55705261230467,90757300,0.0,0.0
2021-01-20,125.36579577837638,129.09773432738962,125.25861162121556,128.64950561523438,104319500,0.0,0.0
2021-01-21,130.3741523744166,136.09385058361056,130.16952272801234,133.36553955078125,120150900,0.0,0.0
2021-01-22,132.7906739013892,136.26927444924834,131.56294040290453,135.50924682617188,114459400,0.0,0.0
2021-01-25,139.40681893054085,141.3750878076961,133.04400046392547,139.26065063476562,157611700,0.0,0.0
2021-01-26,139.92324336849194,140.60531745751035,137.75033002105468,139.4945068359375,98390600,0.0,0.0
2021-01-27,139.7576013848175,140.60533595593498,136.81493637532154,138.4226837158203,140843800,0.0,0.0
2021-01-28,135.9477307492471,138.35448999967485,133.19992695994156,133.57994079589844,142621100,0.0,0.0
2021-01-29,132.35222218300785,133.2389261898638,126.8761209359315,128.58131408691406,177523800,0.0,0.0
2021-02-01,130.32547623427098,131.9137466089755,127.57767214071627,130.7054901123047,106239800,0.0,0.0
2021-02-02,132.25476545115475,132.81991691760996,131.16344668453948,131.53372192382812,83305400,0.0,0.0
2021-02-03,132.28399787741546,132.29375135316877,130.18905238870838,130.51060485839844,89880900,0.0,0.0
2021-02-04,132.8101805826387,133.8820072844467,131.14395684543172,133.8722686767578,84183100,0.0,0.0
2021-02-05,134.03326822644928,134.10157011842293,132.57924349365368,133.45750427246094,75693800,0.205,0.0
2021-02-08,132.74517291566528,133.652723200127,131.66197638343067,133.6039276123047,71297200,0.0,0.0
2021-02-09,133.32091738610043,134.55050063798447,132.56952194364052,132.72564697265625,76774200,0.0,0.0
2021-02-10,133.1842959871747,133.68199010871433,131.15452174777565,132.12062072753906,73046600,0.0,0.0
2021-02-11,132.61824693347916,133.09641965172585,130.53969283038143,131.86685180664062,64280000,0.0,0.0
2021-02-12,131.10571594692075,132.25721410503192,130.46165008374714,132.10107421875,60145100,0.0,0.0
2021-02-16,132.21823340832208,132.72566588298457,129.5834202876407,129.97377014160156,80576300,0.0,0.0
2021-02-17,128.0805609185362,129.02713844569294,126.34354574073312,127.68045806884766,97918500,0.0,0.0
2021-02-18,126.08009517884663,126.86077987924487,124.33332637686648,126.57778930664062,96856700,0.0,0.0
2021-02-19,127.0949773643316,127.55362902270863,125.68974801869317,126.73390197753906,87668800,0.0,0.0
2021-02-22,124.91881659012454,126.5875301611266,122.56701700171384,122.95735931396484,103916400,0.0,0.0
2021-02-23,120.7714294215421,123.65018945773068,115.5311022034767,122.82071685791016,158273000,0.0,0.0
2021-02-24,121.922963593051,122.52798712933732,119.27840529901452,122.32305908203124,111039900,0.0,0.0
2021-02-25,121.66924076662798,123.406256322551,117.62921364696236,118.06834411621094,148199500,0.0,0.0
2021-02-26,119.62969515081252,121.83512279314836,118.27326144324364,118.33181762695312,164560400,0.0,0.0
2021-03-01,120.76168897682948,124.84075076896436,119.82487191939816,124.70413208007812,116307900,0.0,0.0
2021-03-02,125.30914836930084,125.61166008144252,121.99125035893012,122.09859466552734,102260900,0.0,0.0
2021-03-03,121.79608848285189,122.67435679168018,118.89780678629856,119.11249542236328,112966300,0.0,0.0
2021-03-04,118.80997834389994,120.61530301450836,115.75556433244158,117.22909545898438,178155000,0.0,0.0
