symbol,quantity,price,type,timestamp,cost,commission,gross_revenue,net_revenue,buy_cost,profit_loss,profit_rate,profit_rate_pct
518880.SS,248631,4.01800012588501,buy,2023-02-13,999998.3886882147,998.9993892988423,,,,,,
518880.SS,248631,4.2210001945495605,sell,2023-04-03,,1049.4714993710518,1049471.4993710518,1048422.0278716807,999998.3886882147,48423.63918346597,0.0484237172091722,4.84%
518880.SS,240389,4.35699987411499,buy,2023-06-06,1048422.2175813669,1047.3748427384999,,,,,,
518880.SS,240389,4.388000011444092,sell,2023-07-14,,1054.8269347510338,1054826.9347510338,1053772.1078162827,1048422.2175813669,5349.890234915772,0.005102801281012126,0.51%
518880.SS,238441,4.414999961853027,buy,2023-08-11,1053769.7229101018,1052.7170059040654,,,,,,
518880.SS,238441,4.547999858856201,sell,2023-09-15,,1084.4296343455314,1084429.6343455315,1083345.204711186,1053769.7229101018,29575.481801084243,0.028066361329312325,2.81%
518880.SS,234003,4.625,buy,2024-01-26,1083346.138875,1082.263874999946,,,,,,
518880.SS,234003,4.644000053405762,sell,2024-02-19,,1086.7099444971084,1086709.9444971085,1085623.2345526114,1083346.138875,2277.095677611418,0.0021019096260185745,0.21%
518880.SS,204746,5.296999931335449,buy,2024-06-28,1085624.087489149,1084.5395479411818,,,,,,
518880.SS,204746,5.915999889373779,sell,2024-11-25,,1211.277313349724,1211277.3133497238,1210066.036036374,1085624.087489149,124441.94854722498,0.1146271071002455,11.46%
518880.SS,203648,5.935999870300293,buy,2024-12-09,1210063.356088501,1208.854501586873,,,,,,
518880.SS,203648,7.5,sell,2025-04-23,,1527.3600000000001,1527360.0,1525832.64,1210063.356088501,315769.28391149896,0.2609526867520517,26.10%
518880.SS,206854,7.36899995803833,buy,2025-05-30,1525831.4244373806,1524.3071173198987,,,,,,
518880.SS,206854,7.423999786376953,sell,2025-07-24,,1535.6840518112183,1535684.0518112183,1534148.367759407,1525831.4244373806,8316.943322026404,0.00545076159058207,0.55%
