date,signal,price,cash,position,position_value,total_value,daily_pnl
2023-05-05,0.0,4.414999961853027,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-05-08,0.0,4.368000030517578,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-05-09,0.0,4.376999855041504,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-05-10,0.0,4.3979997634887695,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-05-11,0.0,4.394000053405762,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-05-12,0.0,4.364999771118164,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-05-15,0.0,4.381999969482422,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-05-16,0.0,4.36899995803833,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-05-17,0.0,4.353000164031982,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-05-18,0.0,4.34499979019165,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-05-19,0.0,4.329999923706055,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-05-22,0.0,4.3470001220703125,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-05-23,0.0,4.329999923706055,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-05-24,0.0,4.3520002365112305,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-05-25,0.0,4.335000038146973,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-05-26,0.0,4.309999942779541,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-05-29,0.0,4.314000129699707,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-05-30,0.0,4.300000190734863,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-05-31,0.0,4.364999771118164,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-06-01,0.0,4.361999988555908,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-06-02,0.0,4.375,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-06-05,0.0,4.323999881744385,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-06-06,1.0,4.35699987411499,1.421602099086158,240389,1047374.8427386284,1047376.2643407275,-1047.3748427384999
2023-06-07,0.0,4.36299991607666,1.421602099086158,240389,1048817.1868257523,1048818.6084278515,1442.3440871239873
2023-06-08,0.0,4.3379998207092285,1.421602099086158,240389,1042807.4389004707,1042808.8605025698,-6009.747925281641
2023-06-09,0.0,4.375,1.421602099086158,240389,1051701.875,1051703.2966020992,8894.436099529383
2023-06-12,0.0,4.377999782562256,1.421602099086158,240389,1052422.9897303581,1052424.4113324573,721.1147303581238
2023-06-13,0.0,4.388000011444092,1.421602099086158,240389,1054826.9347510338,1054828.356353133,2403.945020675659
2023-06-14,0.0,4.36299991607666,1.421602099086158,240389,1048817.1868257523,1048818.6084278515,-6009.747925281525
2023-06-15,0.0,4.328999996185303,1.421602099086158,240389,1040643.9800829887,1040645.4016850878,-8173.206742763636
2023-06-16,1.0,4.359000205993652,1.421602099086158,240389,1047855.7005186081,1047857.1221207072,7211.720435619354
2023-06-19,0.0,4.366000175476074,1.421602099086158,240389,1049538.416182518,1049539.8377846172,1682.7156639100285
