date,signal,price,cash,position,position_value,total_value,daily_pnl
2020-10-20,0.0,3.723142147064209,1000000.0,0,0.0,1000000.0,0.0
2020-10-21,0.0,3.775475263595581,1000000.0,0,0.0,1000000.0,0.0
2020-10-22,0.0,3.782951593399048,1000000.0,0,0.0,1000000.0,0.0
2020-10-23,0.0,3.782951593399048,1000000.0,0,0.0,1000000.0,0.0
2020-10-26,0.0,3.753046751022339,1000000.0,0,0.0,1000000.0,0.0
2020-10-27,0.0,3.7605230808258057,1000000.0,0,0.0,1000000.0,0.0
2020-10-28,0.0,3.7380948066711426,1000000.0,0,0.0,1000000.0,0.0
2020-10-29,0.0,3.7081894874572754,1000000.0,0,0.0,1000000.0,0.0
2020-10-30,0.0,3.6782844066619873,1000000.0,0,0.0,1000000.0,0.0
2020-11-02,0.0,3.693237066268921,1000000.0,0,0.0,1000000.0,0.0
2020-11-03,0.0,3.7007131576538086,1000000.0,0,0.0,1000000.0,0.0
2020-11-04,0.0,3.7007131576538086,1000000.0,0,0.0,1000000.0,0.0
2020-11-05,0.0,3.7007131576538086,1000000.0,0,0.0,1000000.0,0.0
2020-11-06,0.0,3.7081894874572754,1000000.0,0,0.0,1000000.0,0.0
2020-11-09,0.0,3.723142147064209,1000000.0,0,0.0,1000000.0,0.0
2020-11-10,0.0,3.753046751022339,1000000.0,0,0.0,1000000.0,0.0
2020-11-11,0.0,3.7904279232025146,1000000.0,0,0.0,1000000.0,0.0
2020-11-12,0.0,3.7455708980560303,1000000.0,0,0.0,1000000.0,0.0
2020-11-13,0.0,3.7081894874572754,1000000.0,0,0.0,1000000.0,0.0
2020-11-16,0.0,3.723142147064209,1000000.0,0,0.0,1000000.0,0.0
2020-11-17,0.0,3.7380948066711426,1000000.0,0,0.0,1000000.0,0.0
2020-11-18,0.0,3.7605230808258057,1000000.0,0,0.0,1000000.0,0.0
2020-11-19,0.0,3.7679989337921143,1000000.0,0,0.0,1000000.0,0.0
2020-11-20,0.0,3.7605230808258057,1000000.0,0,0.0,1000000.0,0.0
2020-11-23,0.0,3.7904279232025146,1000000.0,0,0.0,1000000.0,0.0
2020-11-24,-1.0,3.775475263595581,1000000.0,0,0.0,1000000.0,0.0
2020-11-25,0.0,3.7679989337921143,1000000.0,0,0.0,1000000.0,0.0
2020-11-26,0.0,3.80538010597229,1000000.0,0,0.0,1000000.0,0.0
2020-11-27,0.0,4.029665470123291,1000000.0,0,0.0,1000000.0,0.0
2020-11-30,0.0,3.977332830429077,1000000.0,0,0.0,1000000.0,0.0
2020-12-01,0.0,4.089475154876709,1000000.0,0,0.0,1000000.0,0.0
2020-12-02,0.0,4.074522972106934,1000000.0,0,0.0,1000000.0,0.0
2020-12-03,0.0,4.022189617156982,1000000.0,0,0.0,1000000.0,0.0
2020-12-04,0.0,3.969856023788452,1000000.0,0,0.0,1000000.0,0.0
2020-12-07,0.0,3.8801419734954834,1000000.0,0,0.0,1000000.0,0.0
2020-12-08,0.0,3.827808141708374,1000000.0,0,0.0,1000000.0,0.0
2020-12-09,0.0,3.8128557205200195,1000000.0,0,0.0,1000000.0,0.0
2020-12-10,0.0,3.782951593399048,1000000.0,0,0.0,1000000.0,0.0
2020-12-11,0.0,3.7979037761688232,1000000.0,0,0.0,1000000.0,0.0
2020-12-14,0.0,3.775475263595581,1000000.0,0,0.0,1000000.0,0.0
2020-12-15,0.0,3.7455708980560303,1000000.0,0,0.0,1000000.0,0.0
2020-12-16,0.0,3.7380948066711426,1000000.0,0,0.0,1000000.0,0.0
2020-12-17,0.0,3.7605230808258057,1000000.0,0,0.0,1000000.0,0.0
2020-12-18,0.0,3.7380948066711426,1000000.0,0,0.0,1000000.0,0.0
2020-12-21,0.0,3.7380948066711426,1000000.0,0,0.0,1000000.0,0.0
2020-12-22,0.0,3.693237066268921,1000000.0,0,0.0,1000000.0,0.0
2020-12-23,0.0,3.7081894874572754,1000000.0,0,0.0,1000000.0,0.0
2020-12-24,0.0,3.7081894874572754,1000000.0,0,0.0,1000000.0,0.0
2020-12-25,0.0,3.715665817260742,1000000.0,0,0.0,1000000.0,0.0
2020-12-28,0.0,3.715665817260742,1000000.0,0,0.0,1000000.0,0.0
2020-12-29,0.0,3.723142147064209,1000000.0,0,0.0,1000000.0,0.0
2020-12-30,0.0,3.7081894874572754,1000000.0,0,0.0,1000000.0,0.0
2020-12-31,0.0,3.730618476867676,1000000.0,0,0.0,1000000.0,0.0
2021-01-04,0.0,3.7455708980560303,1000000.0,0,0.0,1000000.0,0.0
2021-01-05,0.0,3.715665817260742,1000000.0,0,0.0,1000000.0,0.0
2021-01-06,0.0,3.715665817260742,1000000.0,0,0.0,1000000.0,0.0
2021-01-07,0.0,3.7380948066711426,1000000.0,0,0.0,1000000.0,0.0
2021-01-08,0.0,3.7380948066711426,1000000.0,0,0.0,1000000.0,0.0
2021-01-11,0.0,3.730618476867676,1000000.0,0,0.0,1000000.0,0.0
2021-01-12,0.0,3.753046751022339,1000000.0,0,0.0,1000000.0,0.0
2021-01-13,0.0,3.782951593399048,1000000.0,0,0.0,1000000.0,0.0
2021-01-14,0.0,3.7979037761688232,1000000.0,0,0.0,1000000.0,0.0
2021-01-15,0.0,3.8502368927001953,1000000.0,0,0.0,1000000.0,0.0
2021-01-18,0.0,3.8427605628967285,1000000.0,0,0.0,1000000.0,0.0
2021-01-19,0.0,3.88761830329895,1000000.0,0,0.0,1000000.0,0.0
2021-01-20,0.0,3.8502368927001953,1000000.0,0,0.0,1000000.0,0.0
2021-01-21,0.0,3.835284471511841,1000000.0,0,0.0,1000000.0,0.0
2021-01-22,0.0,3.7679989337921143,1000000.0,0,0.0,1000000.0,0.0
2021-01-25,0.0,3.775475263595581,1000000.0,0,0.0,1000000.0,0.0
2021-01-26,0.0,3.7605230808258057,1000000.0,0,0.0,1000000.0,0.0
2021-01-27,0.0,3.7904279232025146,1000000.0,0,0.0,1000000.0,0.0
2021-01-28,-1.0,3.7605230808258057,1000000.0,0,0.0,1000000.0,0.0
2021-01-29,0.0,3.80538010597229,1000000.0,0,0.0,1000000.0,0.0
2021-02-01,0.0,3.8427605628967285,1000000.0,0,0.0,1000000.0,0.0
2021-02-02,0.0,3.80538010597229,1000000.0,0,0.0,1000000.0,0.0
2021-02-03,0.0,3.7679989337921143,1000000.0,0,0.0,1000000.0,0.0
2021-02-04,0.0,3.7904279232025146,1000000.0,0,0.0,1000000.0,0.0
2021-02-05,0.0,3.8726654052734375,1000000.0,0,0.0,1000000.0,0.0
2021-02-08,0.0,3.857712984085083,1000000.0,0,0.0,1000000.0,0.0
2021-02-09,0.0,3.8502368927001953,1000000.0,0,0.0,1000000.0,0.0
2021-02-10,0.0,3.9249987602233887,1000000.0,0,0.0,1000000.0,0.0
2021-02-18,0.0,3.917522668838501,1000000.0,0,0.0,1000000.0,0.0
2021-02-19,0.0,3.917522668838501,1000000.0,0,0.0,1000000.0,0.0
2021-02-22,0.0,4.014713287353516,1000000.0,0,0.0,1000000.0,0.0
2021-02-23,0.0,4.022189617156982,1000000.0,0,0.0,1000000.0,0.0
2021-02-24,0.0,3.9623799324035645,1000000.0,0,0.0,1000000.0,0.0
