signal,price,cash,position,position_value,total_value,daily_pnl,returns,cumulative_returns,drawdown
0.0,3.986999988555908,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
0.0,4.001999855041504,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
0.0,4.000999927520752,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
0.0,3.9719998836517334,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
0.0,4.014999866485596,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
0.0,4.013000011444092,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
0.0,4.025000095367432,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
0.0,4.019000053405762,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
0.0,4.0269999504089355,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
0.0,4.050000190734863,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
0.0,4.065999984741211,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
0.0,4.056000232696533,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
0.0,4.067999839782715,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
0.0,4.10099983215332,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
0.0,4.0960001945495605,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
0.0,4.068999767303467,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
0.0,4.091000080108643,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
0.0,4.125,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
-1.0,4.071000099182129,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
0.0,4.01800012588501,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
0.0,4.010000228881836,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
0.0,4.010000228881836,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
0.0,4.019000053405762,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
0.0,3.993000030517578,1000000.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0
1.0,4.01800012588501,1.6113117852946743,248631,998999.3892989159,999001.0006107012,-998.9993892988423,-0.0009989993892988158,-0.0009989993892988158,-0.0009989993892988423
0.0,4.014999866485596,1.6113117852946743,248631,998253.4318041801,998255.0431159654,-745.9574947357178,-0.0007467034510272308,-0.001744956884034532,-0.0017449568840345602
0.0,4.001999855041504,1.6113117852946743,248631,995021.2259588242,995022.8372706095,-3232.2058453559875,-0.003237855764060993,-0.004977162729390527,-0.004977162729390547
0.0,4.000999927520752,1.6113117852946743,248631,994772.6129794121,994774.2242911974,-248.61297941207886,-0.0002498565561510624,-0.005225775708802671,-0.005225775708802626
