Date,Close,High,Low,Open,Volume
,510300.SS,510300.SS,510300.SS,510300.SS,510300.SS
2012-05-04,2.2286417484283447,2.2286417484283447,2.2286417484283447,2.2286417484283447,0
2012-05-11,2.1648855209350586,2.1648855209350586,2.1648855209350586,2.1648855209350586,0
2012-05-18,2.1131649017333984,2.1131649017333984,2.1131649017333984,2.1131649017333984,0
2012-05-25,2.1131649017333984,2.1131649017333984,2.1131649017333984,2.1131649017333984,0
2012-05-28,2.146824359893799,2.146824359893799,2.146824359893799,2.146824359893799,0
2012-05-29,2.1772005558013916,2.1772005558013916,2.1772005558013916,2.1772005558013916,0
2012-05-30,2.169811248779297,2.169811248779297,2.169811248779297,2.169811248779297,0
2012-05-31,2.1632437705993652,2.1632437705993652,2.1632437705993652,2.1632437705993652,0
2012-06-01,2.164064884185791,2.164064884185791,2.164064884185791,2.164064884185791,0
2012-06-04,2.1041340827941895,2.1041340827941895,2.1041340827941895,2.1041340827941895,0
2012-06-05,2.1041340827941895,2.1041340827941895,2.1041340827941895,2.1041340827941895,0
2012-06-06,2.103313446044922,2.103313446044922,2.103313446044922,2.103313446044922,0
2012-06-07,2.093461751937866,2.093461751937866,2.093461751937866,2.093461751937866,0
2012-06-08,2.079505443572998,2.079505443572998,2.079505443572998,2.079505443572998,0
2012-06-11,2.10823917388916,2.10823917388916,2.10823917388916,2.10823917388916,0
2012-06-12,2.094282627105713,2.094282627105713,2.094282627105713,2.094282627105713,0
2012-06-13,2.1279423236846924,2.1279423236846924,2.1279423236846924,2.1279423236846924,0
2012-06-14,2.1131649017333984,2.1131649017333984,2.1131649017333984,2.1131649017333984,0
2012-06-15,2.1205532550811768,2.1205532550811768,2.1205532550811768,2.1205532550811768,0
2012-06-18,2.131226062774658,2.131226062774658,2.131226062774658,2.131226062774658,0
2012-06-19,2.1131649017333984,2.1131649017333984,2.1131649017333984,2.1131649017333984,0
2012-06-20,2.1098811626434326,2.1098811626434326,2.1098811626434326,2.1098811626434326,0
2012-06-21,2.0778632164001465,2.0778632164001465,2.0778632164001465,2.0778632164001465,0
2012-06-25,2.0343520641326904,2.0343520641326904,2.0343520641326904,2.0343520641326904,0
2012-06-26,2.0368151664733887,2.0368151664733887,2.0368151664733887,2.0368151664733887,0
2012-06-27,2.030247449874878,2.030247449874878,2.030247449874878,2.030247449874878,0
2012-06-28,2.013007164001465,2.013007164001465,2.013007164001465,2.013007164001465,0
2012-06-29,2.041740894317627,2.041740894317627,2.041740894317627,2.041740894317627,0
2012-07-02,2.0458457469940186,2.0458457469940186,2.0458457469940186,2.0458457469940186,0
2012-07-03,2.0483083724975586,2.0483083724975586,2.0483083724975586,2.0483083724975586,0
2012-07-04,2.0458457469940186,2.0458457469940186,2.0458457469940186,2.0458457469940186,0
2012-07-05,2.0195748805999756,2.0195748805999756,2.0195748805999756,2.0195748805999756,0
2012-07-06,2.0548763275146484,2.0548763275146484,2.0548763275146484,2.0548763275146484,0
2012-07-09,2.0089025497436523,2.0089025497436523,2.0089025497436523,2.0089025497436523,0
2012-07-10,2.0015132427215576,2.0015132427215576,2.0015132427215576,2.0015132427215576,0
2012-07-11,2.0171120166778564,2.0171120166778564,2.0171120166778564,2.0171120166778564,0
2012-07-12,2.0368151664733887,2.0368151664733887,2.0368151664733887,2.0368151664733887,0
2012-07-13,2.038456678390503,2.038456678390503,2.038456678390503,2.038456678390503,0
2012-07-16,1.9974089860916138,1.9974089860916138,1.9974089860916138,1.9974089860916138,0
2012-07-17,2.0089025497436523,2.0089025497436523,2.0089025497436523,2.0089025497436523,0
2012-07-18,2.0089025497436523,2.0089025497436523,2.0089025497436523,2.0089025497436523,0
2012-07-19,2.017932891845703,2.017932891845703,2.017932891845703,2.017932891845703,0
