Date,Close,High,Low,Open,Volume
,399001.SZ,399001.SZ,399001.SZ,399001.SZ,399001.SZ
1997-08-22,4242.0126953125,4278.25203678367,4168.043306358069,4190.712975119753,0
1997-08-25,4362.98095703125,4364.411116806925,4247.0423131476455,4247.662423395207,0
1997-08-26,4386.47119140625,4422.450771367314,4346.931592479886,4373.481101630793,0
1997-08-27,4408.34033203125,4411.090300962564,4339.410935002733,4373.970603147165,0
1997-08-28,4438.27001953125,4468.819969679326,4373.401118560733,4408.530607162607,0
1997-08-29,4398.6806640625,4450.690334855255,4370.770820727503,4440.020044330418,0
1997-09-01,4372.6513671875,4411.89067510732,4348.391384185418,4375.790980565851,0
1997-09-02,4398.720703125,4412.290375206911,4351.661172140776,4372.480762939978,0
1997-09-03,4490.48974609375,4492.819798122436,4404.430651351964,4404.430651351964,0
1997-09-04,4500.32958984375,4524.519260920828,4477.159926898927,4510.119519499902,0
1997-09-05,4491.2197265625,4499.039463215334,4460.490090206204,4497.3397752173,0
1997-09-08,4497.19970703125,4505.349518234239,4458.01020388805,4488.299904215547,0
1997-09-09,4436.7900390625,4514.569439396091,4436.530276353437,4492.249377447436,0
1997-09-10,4498.90966796875,4499.79979473684,4411.270510961465,4418.58048783754,0
1997-09-11,4466.0595703125,4538.868808990459,4443.059829316044,4508.83936200033,0
1997-09-12,4365.5712890625,4475.340080849674,4365.041021555946,4463.41003850379,0
1997-09-15,4241.20263671875,4356.011413194941,4235.212469238452,4356.011413194941,0
1997-09-16,4261.28271484375,4297.442469185515,4230.053081485954,4254.342850572664,0
1997-09-17,4202.22265625,4276.661758652601,4188.202794736708,4261.49200775597,0
1997-09-18,4206.392578125,4235.682287390242,4177.022791636414,4206.29248159582,0
1997-09-19,4238.91259765625,4241.722624852299,4199.772898263005,4212.56279441823,0
1997-09-22,3953.82568359375,4245.582170422403,3950.065716083116,4241.132513396961,0
1997-09-23,3698.868408203125,3936.4958688089355,3661.358819321481,3907.9361306755436,0
1997-09-24,3910.246337890625,3921.846061766968,3771.5877312983894,3784.23773640547,0
1997-09-25,3948.115478515625,4001.765021207634,3903.4060207553734,3969.3952683216494,0
1997-09-26,3935.60595703125,3961.4157274308977,3852.726999652272,3952.6658251330546,0
1997-09-29,3857.476806640625,3901.1862779283624,3814.0871559888874,3901.1862779283624,0
