Date,Close,High,Low,Open,Volume
,510500.SS,510500.SS,510500.SS,510500.SS,510500.SS
2013-02-06,3.460946559906006,3.460946559906006,3.460946559906006,3.460946559906006,0
2013-02-08,3.461643695831299,3.461643695831299,3.461643695831299,3.461643695831299,0
2013-02-22,3.4381539821624756,3.4381539821624756,3.4381539821624756,3.4381539821624756,0
2013-03-01,3.50067400932312,3.50067400932312,3.50067400932312,3.50067400932312,0
2013-03-08,3.447139263153076,3.447139263153076,3.447139263153076,3.447139263153076,0
2013-03-14,3.3442044258117676,3.3442044258117676,3.3442044258117676,3.3442044258117676,0
2013-03-15,3.350071668624878,3.350071668624878,3.350071668624878,3.350071668624878,0
2013-03-18,3.307245969772339,3.307245969772339,3.307245969772339,3.307245969772339,0
2013-03-19,3.3176064491271973,3.3176064491271973,3.3176064491271973,3.3176064491271973,0
2013-03-20,3.4025802612304688,3.4025802612304688,3.4025802612304688,3.4025802612304688,0
2013-03-21,3.0005226135253906,3.0035435134780357,2.9583066563085096,2.9703710955890523,22419295
2013-03-22,3.012587070465088,3.0156079704354406,2.9824355523520074,3.0005226311138258,19567765
2013-03-25,3.0035436153411865,3.015608055030887,2.9824356360168833,3.01258715497579,9793849
2013-03-26,2.9733822345733643,2.99449990840808,2.940209817412657,2.985446673589041,1724128
2013-03-27,2.982435464859009,3.0095755470457464,2.9251341697540476,2.9703710258616702,8390810
2013-03-28,2.901015043258667,2.9402098695071013,2.8648217255703656,2.934187461007121,2964776
2013-03-29,2.9040262699127197,2.922123044321363,2.891961830590211,2.9040262699127197,24145726
2013-04-01,2.9191019535064697,2.9402096999585434,2.9010148759702967,2.9070472106620358,6632927
2013-04-02,2.885929584503174,2.949262982275944,2.8798972497135438,2.9040261271725667,995047
2013-04-03,2.867842674255371,2.8949829882752955,2.8527573348296817,2.8889506531331666,2182811
2013-04-08,2.8738749027252197,2.8738749027252197,2.774357651482222,2.774357651482222,19976103
2013-04-09,2.901015043258667,2.904026247508657,2.8738749605498093,2.8738749605498093,5799266
2013-04-10,2.8919618129730225,2.910058587271424,2.8738749652142523,2.8798973737240074,2209227
2013-04-11,2.885929584503174,2.9100584619621968,2.873874841463118,2.9100584619621968,4773113
2013-04-12,2.8618104457855225,2.885929627917929,2.855778110905144,2.8708537539866605,8787262
2013-04-15,2.8105413913726807,2.846734709860298,2.801497851883371,2.846734709860298,1731199
2013-04-16,2.8437137603759766,2.8467346603299792,2.7562611768000354,2.7562611768000354,2724517
2013-04-17,2.867842674255371,2.8738750093974996,2.8346702559430805,2.840702591085209,3517350
2013-04-18,2.8768861293792725,2.8919617726730835,2.8075300904862934,2.8075300904862934,1605138
2013-04-19,2.9371986389160156,2.9432309739015134,2.8829184739850904,2.8829184739850904,2341693
2013-04-22,2.9552953243255615,2.9552953243255615,2.922122907870204,2.925134112002814,1251770
2013-04-23,2.870853900909424,2.9492631775790055,2.867842696584806,2.940209942375193,1919592
2013-04-24,2.9281551837921143,2.9281551837921143,2.867842682143764,2.8738750173024856,1063069
2013-04-25,2.8919618129730225,2.946242209328596,2.8919618129730225,2.9311665658247037,6247145
2013-04-26,2.8437137603759766,2.897994156897789,2.8346702210440156,2.89498295263369,4473202
2013-05-02,2.852757453918457,2.8618106894297086,2.8226059343386813,2.834670374276808,4805889
2013-05-03,2.913069725036621,2.9191020599483224,2.8768861038053264,2.8768861038053264,3187055
2013-05-06,2.964339017868042,2.9703711221373466,2.913069825175136,2.913069825175136,7023638
2013-05-07,2.9703712463378906,2.9824356862307138,2.95227447107377,2.9583068064450675,5856663
2013-05-08,3.0005226135253906,3.0035435134780357,2.9673501956364072,2.9673501956364072,5429502
2013-05-09,3.0005226135253906,3.0065547177407823,2.9703710955890523,3.0005226135253906,2609772
2013-05-10,3.0186192989349365,3.0216401990296022,2.991479214835174,2.991479214835174,7448872
2013-05-13,3.027662515640259,3.033694850345364,3.006554538291668,3.006554538291668,7454486
2013-05-14,2.994499921798706,3.02465143920792,2.979414582829248,3.02465143920792,3572360
2013-05-15,3.039727210998535,3.039727210998535,2.997511252734927,2.997511252734927,9196276
2013-05-16,3.072899580001831,3.084964019386349,3.015607978747906,3.0186191830366043,10299755
2013-05-17,3.1151154041290283,3.1271798429966977,3.048780266311105,3.048780266311105,8894682
2013-05-20,3.154320001602173,3.1603521057578274,3.1121040448033646,3.136232923125497,9574801
2013-05-21,3.1905133724212646,3.1965360118375545,3.145276514943502,3.154320054333021,9243768
